date,airline,flight_number,origin,destination,origin_country,destination_country,aircraft_type,passengers_affected,reason
2026-03-01,Etihad Airways,ET2036,London,Riyadh,UK,Saudi Arabia,Boeing 737 MAX 8,342,Airport closure — military activity
2026-03-01,Jazeera Airways,JA894,New York,Dubai,USA,UAE,Airbus A340-600,264,Insurance restriction — war zone
2026-03-01,Pakistan International Airlines,PA1700,Riyadh,London,Saudi Arabia,UK,Airbus A350-900,223,Crew safety — company policy
2026-03-01,Emirates SkyCargo,EM3364,Dubai,Frankfurt,UAE,Germany,Boeing 777-200LR,404,Airport closure — military activity
2026-03-01,Air France,AI4242,Beirut,Paris,Lebanon,France,Boeing 777-300ER,298,Government travel ban
2026-03-01,Emirates,EM4550,Tehran,Beijing,Iran,China,Boeing 787-9 Dreamliner,346,Diplomatic advisory — do not fly
2026-03-01,Cargolux,CA1068,Lahore,Doha,Pakistan,Qatar,Boeing 737-800,379,Government travel ban
2026-03-01,Malaysia Airlines,MA8449,Islamabad,Riyadh,Pakistan,Saudi Arabia,Airbus A350-900,135,Airport closure — military activity
2026-03-01,Iran Air,IR5660,New York,Doha,USA,Qatar,Airbus A330-300,353,Fuel supply disruption
2026-03-01,United Airlines,UN8284,Tehran,Beijing,Iran,China,Boeing 737 MAX 8,348,Insurance restriction — war zone
2026-03-01,FedEx Express,FE7964,Mumbai,Kuwait City,India,Kuwait,Airbus A320neo,125,Insurance restriction — war zone
2026-03-01,Mahan Air,MA2634,Muscat,London,Oman,UK,Airbus A321neo,381,Crew safety — company policy
2026-03-01,Saudi Arabian Airlines,SA522,Bahrain,Dubai,Bahrain,UAE,Boeing 777-300ER,341,Fuel supply disruption
2026-03-01,FedEx Express,FE5416,Delhi,Istanbul,India,Turkey,Airbus A380-800,445,Airspace closure — NOTAM
2026-03-01,Etihad Airways,ET3032,Riyadh,Islamabad,Saudi Arabia,Pakistan,Airbus A380-800,216,Government travel ban
2026-03-02,Cathay Pacific,CA224,Istanbul,Karachi,Turkey,Pakistan,Airbus A340-600,366,Airspace closure — NOTAM
2026-03-02,FedEx Express,FE978,Washington,Abu Dhabi,USA,UAE,Airbus A380-800,428,Insurance restriction — war zone
2026-03-02,Pakistan International Airlines,PA2935,Istanbul,Dubai,Turkey,UAE,Boeing 777-300ER,186,Insurance restriction — war zone
2026-03-02,Etihad Airways,ET4752,Tehran,Istanbul,Iran,Turkey,Airbus A340-600,447,Security risk — conflict zone
2026-03-02,KLM,KL5303,Tehran,Moscow,Iran,Russia,Airbus A350-900,215,Airport closure — military activity
2026-03-02,Air France,AI2446,Kuwait City,Mumbai,Kuwait,India,Airbus A320neo,171,Diplomatic advisory — do not fly
2026-03-02,Air France,AI6460,Amman,Dubai,Jordan,UAE,Boeing 787-9 Dreamliner,291,Insurance restriction — war zone
2026-03-02,FedEx Express,FE8552,Dubai,Islamabad,UAE,Pakistan,Boeing 787-10 Dreamliner,130,Diplomatic advisory — do not fly
2026-03-02,British Airways,BR2481,Dubai,New York,UAE,USA,Airbus A320neo,202,Insurance restriction — war zone
2026-03-02,Cargolux,CA9396,London,Kuwait City,UK,Kuwait,Boeing 777-300ER,350,Insurance restriction — war zone
2026-03-02,Iran Air,IR8290,Kuwait City,London,Kuwait,UK,Boeing 777-300ER,389,Airspace closure — NOTAM
2026-03-02,Pakistan International Airlines,PA3613,Karachi,Dubai,Pakistan,UAE,Airbus A321neo,230,Airport closure — military activity
2026-03-02,Iran Air,IR1841,London,Kuwait City,UK,Kuwait,Boeing 777-200LR,411,Security risk — conflict zone
2026-03-02,American Airlines,AM9026,Doha,Paris,Qatar,France,Boeing 737-800,425,Diplomatic advisory — do not fly
2026-03-02,Etihad Airways,ET2929,Dubai,Delhi,UAE,India,Boeing 777-200LR,409,Insurance restriction — war zone
2026-03-02,Jazeera Airways,JA5760,London,Doha,UK,Qatar,Boeing 777-200LR,111,Fuel supply disruption
2026-03-02,British Airways,BR1625,Mumbai,Kuwait City,India,Kuwait,Airbus A330-300,410,Government travel ban
2026-03-02,Emirates,EM4094,Karachi,Dubai,Pakistan,UAE,Airbus A340-600,250,Fuel supply disruption
2026-03-02,Iran Air,IR4748,Istanbul,Karachi,Turkey,Pakistan,Airbus A320neo,258,Airport closure — military activity
2026-03-02,Cathay Pacific,CA7520,London,Singapore,UK,Singapore,Airbus A321neo,246,Diplomatic advisory — do not fly
2026-03-02,Emirates SkyCargo,EM2115,Doha,London,Qatar,UK,Airbus A320neo,365,Security risk — conflict zone
2026-03-02,Singapore Airlines,SI9793,Sydney,Abu Dhabi,Australia,UAE,Airbus A321neo,98,Crew safety — company policy
2026-03-02,Saudi Arabian Airlines,SA1240,Doha,Lahore,Qatar,Pakistan,Airbus A330-300,378,Airspace closure — NOTAM
2026-03-02,Ethiopian Airlines,ET5015,Singapore,London,Singapore,UK,Airbus A340-600,211,Airspace closure — NOTAM
2026-03-02,American Airlines,AM5225,London,Dubai,UK,UAE,Boeing 787-9 Dreamliner,316,Airspace closure — NOTAM
2026-03-02,Qatar Airways,QA2526,London,Dubai,UK,UAE,Boeing 737-800,371,Airspace closure — NOTAM
2026-03-02,Singapore Airlines,SI855,Bahrain,London,Bahrain,UK,Airbus A380-800,147,Insurance restriction — war zone
2026-03-02,Cargolux,CA611,Riyadh,Islamabad,Saudi Arabia,Pakistan,Airbus A321neo,385,Crew safety — company policy
2026-03-02,Oman Air,OM1298,Moscow,Tehran,Russia,Iran,Boeing 777-200LR,214,Airport closure — military activity
2026-03-02,Cathay Pacific,CA9187,Kuwait City,London,Kuwait,UK,Airbus A380-800,314,Diplomatic advisory — do not fly
2026-03-02,Oman Air,OM194,Delhi,Istanbul,India,Turkey,Airbus A350-900,180,Airspace closure — NOTAM
2026-03-02,Malaysia Airlines,MA7586,Beirut,Paris,Lebanon,France,Airbus A321neo,325,Airspace closure — NOTAM
2026-03-02,Singapore Airlines,SI2081,New York,Dubai,USA,UAE,Boeing 737 MAX 8,345,Crew safety — company policy
2026-03-02,Delta Air Lines,DE5181,Tehran,Beijing,Iran,China,Boeing 787-9 Dreamliner,445,Crew safety — company policy
2026-03-02,Emirates SkyCargo,EM4676,Abu Dhabi,London,UAE,UK,Airbus A340-600,278,Diplomatic advisory — do not fly
2026-03-02,Jazeera Airways,JA3201,Kuwait City,London,Kuwait,UK,Boeing 777-200LR,95,Insurance restriction — war zone
2026-03-02,United Airlines,UN1550,Dubai,Karachi,UAE,Pakistan,Boeing 787-10 Dreamliner,297,Government travel ban
2026-03-02,Gulf Air,GU5565,Abu Dhabi,London,UAE,UK,Boeing 737 MAX 8,213,Airport closure — military activity
2026-03-02,Emirates SkyCargo,EM6045,Bahrain,London,Bahrain,UK,Boeing 777-200LR,101,Crew safety — company policy
2026-03-02,Oman Air,OM7244,London,Riyadh,UK,Saudi Arabia,Airbus A380-800,134,Airspace closure — NOTAM
2026-03-02,United Airlines,UN1822,Istanbul,Karachi,Turkey,Pakistan,Boeing 737-800,285,Crew safety — company policy
2026-03-02,Ethiopian Airlines,ET7152,Dubai,Singapore,UAE,Singapore,Boeing 777-300ER,166,Security risk — conflict zone
2026-03-02,Oman Air,OM5215,Riyadh,London,Saudi Arabia,UK,Airbus A350-900,176,Fuel supply disruption
2026-03-02,Qatar Airways,QA828,Riyadh,Islamabad,Saudi Arabia,Pakistan,Airbus A380-800,361,Crew safety — company policy
2026-03-02,KLM,KL2707,New York,Dubai,USA,UAE,Airbus A321neo,337,Fuel supply disruption
2026-03-02,Kuwait Airways,KU8741,New York,Doha,USA,Qatar,Boeing 737-800,155,Diplomatic advisory — do not fly
2026-03-02,Thai Airways,TH8012,Dubai,Islamabad,UAE,Pakistan,Boeing 777-200LR,235,Airport closure — military activity
2026-03-02,Air France,AI8273,Karachi,Dubai,Pakistan,UAE,Boeing 777-300ER,279,Airspace closure — NOTAM
2026-03-02,Emirates,EM4001,Paris,Doha,France,Qatar,Boeing 787-9 Dreamliner,270,Diplomatic advisory — do not fly
2026-03-02,Mahan Air,MA3640,Sydney,Abu Dhabi,Australia,UAE,Airbus A340-600,347,Diplomatic advisory — do not fly
2026-03-03,Oman Air,OM7814,Tehran,Moscow,Iran,Russia,Airbus A330-300,130,Insurance restriction — war zone
2026-03-03,Pakistan International Airlines,PA2450,Mumbai,Kuwait City,India,Kuwait,Boeing 737 MAX 8,143,Airport closure — military activity
2026-03-03,Air Arabia,AI7069,Sydney,Abu Dhabi,Australia,UAE,Boeing 737 MAX 8,292,Security risk — conflict zone
2026-03-03,Saudi Arabian Airlines,SA7576,Kuwait City,London,Kuwait,UK,Airbus A320neo,96,Government travel ban
2026-03-03,Pakistan International Airlines,PA9118,London,Muscat,UK,Oman,Airbus A330-300,325,Security risk — conflict zone
2026-03-03,Mahan Air,MA9638,Tehran,Beijing,Iran,China,Airbus A321neo,225,Airspace closure — NOTAM
2026-03-03,Pakistan International Airlines,PA1793,Doha,Paris,Qatar,France,Airbus A350-900,237,Security risk — conflict zone
2026-03-03,flydubai,FL2328,Dubai,Frankfurt,UAE,Germany,Boeing 777-200LR,163,Crew safety — company policy
2026-03-03,Malaysia Airlines,MA1516,Kuwait City,Cairo,Kuwait,Egypt,Boeing 777-200LR,332,Security risk — conflict zone
2026-03-03,Jazeera Airways,JA2844,Dubai,Sydney,UAE,Australia,Boeing 737 MAX 8,226,Airspace closure — NOTAM
2026-03-03,American Airlines,AM7770,London,Bahrain,UK,Bahrain,Airbus A330-300,180,Airport closure — military activity
2026-03-03,Cathay Pacific,CA8715,Los Angeles,Doha,USA,Qatar,Boeing 787-9 Dreamliner,316,Crew safety — company policy
2026-03-03,Pakistan International Airlines,PA6095,Mumbai,Kuwait City,India,Kuwait,Boeing 787-9 Dreamliner,293,Government travel ban
2026-03-03,Air Arabia,AI3704,Paris,Doha,France,Qatar,Boeing 737 MAX 8,176,Security risk — conflict zone
2026-03-03,Malaysia Airlines,MA7712,Mumbai,Doha,India,Qatar,Boeing 787-9 Dreamliner,85,Diplomatic advisory — do not fly
2026-03-03,Air Arabia,AI8537,Dubai,Frankfurt,UAE,Germany,Boeing 787-10 Dreamliner,440,Airspace closure — NOTAM
2026-03-03,Pakistan International Airlines,PA550,Doha,Los Angeles,Qatar,USA,Boeing 787-10 Dreamliner,145,Government travel ban
2026-03-03,Malaysia Airlines,MA254,Kuwait City,Cairo,Kuwait,Egypt,Airbus A321neo,411,Fuel supply disruption
2026-03-03,Jazeera Airways,JA2903,Singapore,Dubai,Singapore,UAE,Airbus A320neo,277,Government travel ban
2026-03-03,Pakistan International Airlines,PA7751,Islamabad,Riyadh,Pakistan,Saudi Arabia,Airbus A330-300,219,Diplomatic advisory — do not fly
2026-03-03,Emirates,EM1533,Doha,Los Angeles,Qatar,USA,Boeing 787-10 Dreamliner,297,Insurance restriction — war zone
2026-03-03,EgyptAir,EG6519,New York,Doha,USA,Qatar,Boeing 787-9 Dreamliner,166,Airport closure — military activity
2026-03-03,Oman Air,OM9955,Mumbai,Kuwait City,India,Kuwait,Airbus A320neo,410,Diplomatic advisory — do not fly
2026-03-03,Ethiopian Airlines,ET2560,Doha,London,Qatar,UK,Boeing 787-9 Dreamliner,282,Government travel ban
2026-03-03,Oman Air,OM9641,Dubai,Frankfurt,UAE,Germany,Boeing 737-800,373,Airspace closure — NOTAM
2026-03-03,IndiGo,IN4892,Dubai,Paris,UAE,France,Boeing 787-10 Dreamliner,227,Airspace closure — NOTAM
2026-03-03,Qatar Airways,QA1328,London,Singapore,UK,Singapore,Airbus A321neo,324,Security risk — conflict zone
2026-03-03,Pakistan International Airlines,PA5021,Dubai,Sydney,UAE,Australia,Boeing 777-300ER,403,Fuel supply disruption
2026-03-03,Mahan Air,MA5695,Islamabad,Dubai,Pakistan,UAE,Boeing 737 MAX 8,356,Government travel ban
2026-03-03,Air India,AI4756,Doha,Lahore,Qatar,Pakistan,Boeing 737-800,161,Security risk — conflict zone
2026-03-03,Oman Air,OM479,Tehran,Istanbul,Iran,Turkey,Boeing 787-10 Dreamliner,286,Fuel supply disruption
2026-03-03,Singapore Airlines,SI6952,New York,Doha,USA,Qatar,Airbus A340-600,356,Diplomatic advisory — do not fly
2026-03-03,Emirates SkyCargo,EM7384,Beijing,Tehran,China,Iran,Boeing 777-200LR,285,Airspace closure — NOTAM
2026-03-03,Gulf Air,GU3274,Doha,Paris,Qatar,France,Airbus A340-600,288,Security risk — conflict zone
2026-03-03,Gulf Air,GU3216,Dubai,London,UAE,UK,Airbus A330-300,317,Government travel ban
2026-03-03,flydubai,FL661,Doha,Lahore,Qatar,Pakistan,Boeing 777-300ER,430,Insurance restriction — war zone
2026-03-03,Jazeera Airways,JA1881,Dubai,Bahrain,UAE,Bahrain,Airbus A320neo,161,Airspace closure — NOTAM
2026-03-03,FedEx Express,FE2412,Los Angeles,Doha,USA,Qatar,Boeing 787-9 Dreamliner,290,Insurance restriction — war zone
2026-03-03,IndiGo,IN4248,London,Abu Dhabi,UK,UAE,Airbus A321neo,195,Crew safety — company policy
2026-03-03,British Airways,BR7617,London,Singapore,UK,Singapore,Airbus A321neo,199,Security risk — conflict zone
2026-03-03,British Airways,BR4935,Moscow,Tehran,Russia,Iran,Boeing 777-300ER,132,Crew safety — company policy
2026-03-03,Ethiopian Airlines,ET4217,Dubai,Sydney,UAE,Australia,Airbus A350-900,302,Crew safety — company policy
2026-03-04,Air Arabia,AI4664,Dubai,Karachi,UAE,Pakistan,Airbus A320neo,282,Government travel ban
2026-03-04,Delta Air Lines,DE1619,Sydney,Abu Dhabi,Australia,UAE,Boeing 787-9 Dreamliner,331,Fuel supply disruption
2026-03-04,Air India,AI9998,Beijing,Tehran,China,Iran,Boeing 787-10 Dreamliner,281,Fuel supply disruption
2026-03-04,Singapore Airlines,SI860,Doha,Paris,Qatar,France,Boeing 737-800,321,Airspace closure — NOTAM
2026-03-04,Lufthansa,LU3483,Delhi,Dubai,India,UAE,Boeing 787-10 Dreamliner,162,Crew safety — company policy
2026-03-04,Cargolux,CA1178,Istanbul,Karachi,Turkey,Pakistan,Airbus A350-900,271,Insurance restriction — war zone
2026-03-04,Iran Air,IR4045,Abu Dhabi,Washington,UAE,USA,Boeing 737-800,313,Diplomatic advisory — do not fly
2026-03-04,Emirates SkyCargo,EM6582,Doha,Mumbai,Qatar,India,Boeing 777-300ER,228,Airspace closure — NOTAM
2026-03-04,Jazeera Airways,JA6983,Islamabad,Riyadh,Pakistan,Saudi Arabia,Airbus A320neo,81,Government travel ban
2026-03-04,Saudi Arabian Airlines,SA2110,Paris,Doha,France,Qatar,Boeing 787-9 Dreamliner,99,Insurance restriction — war zone
2026-03-04,Gulf Air,GU2504,Washington,Abu Dhabi,USA,UAE,Airbus A330-300,424,Fuel supply disruption
2026-03-04,Emirates SkyCargo,EM2540,London,Riyadh,UK,Saudi Arabia,Airbus A320neo,165,Security risk — conflict zone
2026-03-04,British Airways,BR2992,Singapore,Dubai,Singapore,UAE,Boeing 777-300ER,442,Government travel ban
2026-03-04,Lufthansa,LU2329,Dubai,Frankfurt,UAE,Germany,Boeing 777-200LR,108,Insurance restriction — war zone
2026-03-04,Turkish Airlines,TU8492,Mumbai,Doha,India,Qatar,Boeing 777-200LR,216,Diplomatic advisory — do not fly
2026-03-04,Singapore Airlines,SI6816,Paris,Dubai,France,UAE,Boeing 787-9 Dreamliner,351,Fuel supply disruption
2026-03-04,American Airlines,AM4135,London,Kuwait City,UK,Kuwait,Airbus A330-300,266,Insurance restriction — war zone
2026-03-04,Iran Air,IR2547,Karachi,Dubai,Pakistan,UAE,Airbus A330-300,318,Security risk — conflict zone
2026-03-04,Cathay Pacific,CA1762,Dubai,Frankfurt,UAE,Germany,Boeing 787-9 Dreamliner,191,Diplomatic advisory — do not fly
2026-03-04,Pakistan International Airlines,PA3883,Delhi,Dubai,India,UAE,Boeing 777-300ER,167,Insurance restriction — war zone
2026-03-04,British Airways,BR5482,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 787-9 Dreamliner,99,Airspace closure — NOTAM
2026-03-04,IndiGo,IN6293,Mumbai,Doha,India,Qatar,Airbus A340-600,214,Government travel ban
2026-03-04,British Airways,BR6708,Tehran,Istanbul,Iran,Turkey,Airbus A350-900,434,Government travel ban
2026-03-04,Air France,AI579,Abu Dhabi,Washington,UAE,USA,Airbus A330-300,323,Airspace closure — NOTAM
2026-03-04,IndiGo,IN567,Doha,Mumbai,Qatar,India,Airbus A320neo,169,Fuel supply disruption
2026-03-04,Air Arabia,AI3366,Cairo,Riyadh,Egypt,Saudi Arabia,Boeing 737 MAX 8,252,Diplomatic advisory — do not fly
2026-03-04,Oman Air,OM956,New York,Dubai,USA,UAE,Airbus A320neo,239,Airspace closure — NOTAM
2026-03-04,Air India,AI5735,New York,Doha,USA,Qatar,Boeing 737-800,300,Insurance restriction — war zone
2026-03-04,Thai Airways,TH5659,Lahore,Doha,Pakistan,Qatar,Boeing 737 MAX 8,200,Government travel ban
2026-03-04,Lufthansa,LU3738,Abu Dhabi,Sydney,UAE,Australia,Airbus A340-600,94,Crew safety — company policy
2026-03-04,Thai Airways,TH6540,Karachi,Dubai,Pakistan,UAE,Airbus A340-600,239,Airspace closure — NOTAM
2026-03-04,flydubai,FL2608,Islamabad,Dubai,Pakistan,UAE,Airbus A340-600,153,Insurance restriction — war zone
2026-03-04,Lufthansa,LU7997,New York,Doha,USA,Qatar,Boeing 737-800,240,Security risk — conflict zone
2026-03-04,Cathay Pacific,CA9852,Dubai,New York,UAE,USA,Airbus A380-800,399,Airport closure — military activity
2026-03-04,IndiGo,IN7158,Sydney,Abu Dhabi,Australia,UAE,Boeing 737-800,296,Diplomatic advisory — do not fly
2026-03-04,Emirates,EM4163,Dubai,Frankfurt,UAE,Germany,Boeing 777-200LR,211,Diplomatic advisory — do not fly
2026-03-04,Pakistan International Airlines,PA6320,Islamabad,Dubai,Pakistan,UAE,Boeing 787-10 Dreamliner,262,Diplomatic advisory — do not fly
2026-03-04,Delta Air Lines,DE2172,Sydney,Dubai,Australia,UAE,Boeing 737 MAX 8,188,Airport closure — military activity
2026-03-04,Lufthansa,LU8485,Bahrain,London,Bahrain,UK,Airbus A350-900,340,Security risk — conflict zone
2026-03-04,Cargolux,CA3217,Dubai,Mumbai,UAE,India,Airbus A350-900,331,Airspace closure — NOTAM
2026-03-04,Ethiopian Airlines,ET7248,Tehran,Beijing,Iran,China,Boeing 737-800,98,Diplomatic advisory — do not fly
2026-03-04,Air Arabia,AI8202,Cairo,Riyadh,Egypt,Saudi Arabia,Airbus A350-900,270,Insurance restriction — war zone
2026-03-05,American Airlines,AM7620,London,Bahrain,UK,Bahrain,Boeing 737-800,131,Government travel ban
2026-03-05,Emirates SkyCargo,EM8841,Singapore,London,Singapore,UK,Airbus A340-600,330,Insurance restriction — war zone
2026-03-05,EgyptAir,EG8508,Sydney,Abu Dhabi,Australia,UAE,Airbus A330-300,267,Crew safety — company policy
