date,airline,flight_number,origin,destination,original_route,new_route,original_distance_km,new_distance_km,additional_distance_km,extra_fuel_cost_usd,delay_hours,reroute_severity,origin_country,destination_country,aircraft_type,passengers_affected,reason,cancelled,event_type,severity,disruption_type,severity_level,flights_affected
2026-02-28,DHL Aviation,DH3889,Doha,Los Angeles,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,8508.0,9502.0,994.0,5002.9,2.4,17.3429,,,,,,0.0,Military,Critical,,,
2026-02-28,DHL Aviation,DH5634,Doha,Los Angeles,,,,,,,,,Qatar,USA,Airbus A340-600,234.0,Government travel ban,1.0,Military,Critical,,,
2026-02-28,Delta Air Lines,DE4022,Beijing,Tehran,,,,,,,,,China,Iran,Boeing 787-10 Dreamliner,260.0,Diplomatic advisory — do not fly,1.0,Military,Critical,,,
2026-02-28,Delta Air Lines,DE8835,Muscat,London,,,,,,,,,Oman,UK,Boeing 737-800,248.0,Airspace closure — NOTAM,1.0,Military,Critical,,,
2026-02-28,EgyptAir,EG5316,Cairo,Kuwait City,,,,,,,,,Egypt,Kuwait,Boeing 787-9 Dreamliner,209.0,Fuel supply disruption,1.0,Military,Critical,,,
2026-02-28,Emirates,EM101,Dubai,Istanbul,,,,,,,,,UAE,Turkey,Boeing 787-9 Dreamliner,185.0,Security risk — conflict zone,1.0,Military,Critical,,,
2026-02-28,Emirates,EM3648,Riyadh,Islamabad,Via Persian Gulf,Via Indian Ocean southern route,3773.0,5115.0,1342.0,6931.93,2.2,22.551930000000002,,,,,,0.0,Military,Critical,,,
2026-02-28,Emirates SkyCargo,EM2101,Doha,London,Direct Tehran overfly,Via Ashgabat–Almaty route,8421.0,9637.0,1216.0,6972.49,2.6,21.73249,,,,,,0.0,Military,Critical,,,
2026-02-28,Emirates SkyCargo,EM4722,Moscow,Tehran,Direct Tehran overfly,Via Ashgabat–Almaty route,4857.0,6405.0,1548.0,7134.67,2.1,24.71467,,,,,,0.0,Military,Critical,,,
2026-02-28,Emirates SkyCargo,EM582,Istanbul,Delhi,,,,,,,,,Turkey,India,Airbus A380-800,340.0,Insurance restriction — war zone,1.0,Military,Critical,,,
2026-02-28,Ethiopian Airlines,ET1878,Beijing,Tehran,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,3487.0,5382.0,1895.0,13024.24,3.2,35.17424,,,,,,0.0,Military,Critical,,,
2026-02-28,Etihad Airways,ET4501,Kuwait City,Mumbai,,,,,,,,,Kuwait,India,Airbus A320neo,89.0,Crew safety — company policy,1.0,Military,Critical,,,
2026-02-28,Etihad Airways,ET8144,Dubai,Bahrain,,,,,,,,,UAE,Bahrain,Boeing 787-10 Dreamliner,312.0,Government travel ban,1.0,Military,Critical,,,
2026-02-28,Etihad Airways,ET8633,Dubai,Mumbai,,,,,,,,,UAE,India,Boeing 787-9 Dreamliner,251.0,Insurance restriction — war zone,1.0,Military,Critical,,,
2026-02-28,Etihad Airways,ET9130,London,Riyadh,,,,,,,,,UK,Saudi Arabia,Boeing 737-800,410.0,Airspace closure — NOTAM,1.0,Military,Critical,,,
2026-02-28,FedEx Express,FE4384,Tehran,Moscow,,,,,,,,,Iran,Russia,Airbus A340-600,159.0,Crew safety — company policy,1.0,Military,Critical,,,
2026-02-28,FedEx Express,FE4808,Sydney,Dubai,,,,,,,,,Australia,UAE,Boeing 737-800,435.0,Crew safety — company policy,1.0,Military,Critical,,,
2026-02-28,FedEx Express,FE542,Dubai,Frankfurt,Direct Gulf route,Via Jordan–Egypt alternate,2727.0,3720.0,993.0,4915.92,2.9,17.745919999999998,,,,,,0.0,Military,Critical,,,
2026-02-28,FedEx Express,FE8643,Dubai,Amman,,,,,,,,,UAE,Jordan,Airbus A320neo,139.0,Airport closure — military activity,1.0,Military,Critical,,,
2026-02-28,Gulf Air,GU1160,Istanbul,Delhi,Via Strait of Hormuz,Via Red Sea–Suez route,7437.0,8602.0,1165.0,4081.06,3.3,19.03106,,,,,,0.0,Military,Critical,,,
2026-02-28,Gulf Air,GU2830,Islamabad,Riyadh,Via Persian Gulf,Via Indian Ocean southern route,10505.0,11957.0,1452.0,7127.27,3.9,25.547269999999997,,,,,,0.0,Military,Critical,,,
2026-02-28,Gulf Air,GU5444,Dubai,New York,Direct Tehran overfly,Via Ashgabat–Almaty route,5752.0,6651.0,899.0,6255.22,4.1,19.34522,,,,,,0.0,Military,Critical,,,
2026-02-28,Gulf Air,GU8832,Paris,Beirut,Direct Gulf route,Via Jordan–Egypt alternate,4351.0,5162.0,811.0,3843.39,1.4,13.35339,,,,,,0.0,Military,Critical,,,
2026-02-28,IndiGo,IN1293,Istanbul,Dubai,,,,,,,,,Turkey,UAE,Airbus A340-600,439.0,Diplomatic advisory — do not fly,1.0,Military,Critical,,,
2026-02-28,IndiGo,IN6143,Dubai,Amman,,,,,,,,,UAE,Jordan,Boeing 787-9 Dreamliner,120.0,Diplomatic advisory — do not fly,1.0,Military,Critical,,,
2026-02-28,Iran Air,IR1626,Dubai,Mumbai,Direct Tehran overfly,Via Ashgabat–Almaty route,5881.0,6760.0,879.0,4981.78,1.5,15.27178,,,,,,0.0,Military,Critical,,,
2026-02-28,Iran Air,IR9334,Los Angeles,Doha,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,4239.0,5887.0,1648.0,6633.95,4.5,27.61395,,,,,,0.0,Military,Critical,,,
2026-02-28,Jazeera Airways,JA2297,Dubai,London,,,,,,,,,UAE,UK,Airbus A340-600,449.0,Airport closure — military activity,1.0,Military,Critical,,,
2026-02-28,Jazeera Airways,JA9311,Istanbul,Tehran,,,,,,,,,Turkey,Iran,Boeing 777-300ER,238.0,Airspace closure — NOTAM,1.0,Military,Critical,,,
2026-02-28,KLM,KL3060,Dubai,Cairo,,,,,,,,,UAE,Egypt,Boeing 777-300ER,377.0,Fuel supply disruption,1.0,Military,Critical,,,
2026-02-28,Kuwait Airways,KU6859,Paris,Doha,,,,,,,,,France,Qatar,Airbus A330-300,305.0,Insurance restriction — war zone,1.0,Military,Critical,,,
2026-02-28,Lufthansa,LU3390,Dubai,Islamabad,,,,,,,,,UAE,Pakistan,Airbus A350-900,99.0,Government travel ban,1.0,Military,Critical,,,
2026-02-28,Lufthansa,LU4938,Abu Dhabi,Washington,,,,,,,,,UAE,USA,Boeing 737 MAX 8,226.0,Government travel ban,1.0,Military,Critical,,,
2026-02-28,Lufthansa,LU5500,Karachi,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7032.0,8245.0,1213.0,5740.66,2.2,20.070660000000004,,,,,,0.0,Military,Critical,,,
2026-02-28,Lufthansa,LU9386,New York,Doha,,,,,,,,,USA,Qatar,Boeing 787-9 Dreamliner,306.0,Insurance restriction — war zone,1.0,Military,Critical,,,
2026-02-28,Mahan Air,MA4049,Tehran,Istanbul,Direct Middle East overfly,Via Central Asian detour,4402.0,6153.0,1751.0,9609.6,1.5,28.619600000000002,,,,,,0.0,Military,Critical,,,
2026-02-28,Mahan Air,MA6054,Doha,Lahore,Via Persian Gulf,Via Indian Ocean southern route,11908.0,14744.0,2836.0,15494.95,3.0,46.85495,,,,,,0.0,Military,Critical,,,
2026-02-28,Mahan Air,MA9305,Frankfurt,Dubai,,,,,,,,,Germany,UAE,Airbus A340-600,92.0,Airport closure — military activity,1.0,Military,Critical,,,
2026-02-28,Malaysia Airlines,MA6046,Amman,Dubai,Direct Tehran overfly,Via Ashgabat–Almaty route,3991.0,4892.0,901.0,5653.79,4.3,18.96379,,,,,,0.0,Military,Critical,,,
2026-02-28,Oman Air,OM3694,London,Abu Dhabi,,,,,,,,,UK,UAE,Airbus A330-300,185.0,Insurance restriction — war zone,1.0,Military,Critical,,,
2026-02-28,Pakistan International Airlines,PA1202,Doha,Paris,,,,,,,,,Qatar,France,Boeing 777-200LR,348.0,Diplomatic advisory — do not fly,1.0,Military,Critical,,,
2026-02-28,Pakistan International Airlines,PA4170,Bahrain,Dubai,,,,,,,,,Bahrain,UAE,Airbus A350-900,114.0,Diplomatic advisory — do not fly,1.0,Military,Critical,,,
2026-02-28,Pakistan International Airlines,PA4743,Dubai,Karachi,,,,,,,,,UAE,Pakistan,Boeing 777-200LR,106.0,Diplomatic advisory — do not fly,1.0,Military,Critical,,,
2026-02-28,Pakistan International Airlines,PA4924,Doha,Mumbai,Direct Middle East overfly,Via Central Asian detour,11821.0,14100.0,2279.0,12809.85,4.8,40.39985,,,,,,0.0,Military,Critical,,,
2026-02-28,Qatar Airways,QA389,Doha,Los Angeles,,,,,,,,,Qatar,USA,Airbus A321neo,135.0,Fuel supply disruption,1.0,Military,Critical,,,
2026-02-28,Qatar Airways,QA9007,Washington,Abu Dhabi,,,,,,,,,USA,UAE,Boeing 777-200LR,433.0,Diplomatic advisory — do not fly,1.0,Military,Critical,,,
2026-02-28,Saudi Arabian Airlines,SA3477,Beijing,Tehran,,,,,,,,,China,Iran,Boeing 777-300ER,83.0,Airport closure — military activity,1.0,Military,Critical,,,
2026-02-28,Saudi Arabian Airlines,SA5972,Dubai,Cairo,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,6431.0,7636.0,1205.0,5113.08,2.6,19.763080000000002,,,,,,0.0,Military,Critical,,,
2026-02-28,Singapore Airlines,SI2093,London,Doha,Direct Gulf route,Via Jordan–Egypt alternate,6818.0,7798.0,980.0,5424.63,0.8,16.024630000000002,,,,,,0.0,Military,Critical,,,
2026-02-28,Singapore Airlines,SI2436,Moscow,Tehran,Via Persian Gulf,Via Indian Ocean southern route,2257.0,5509.0,3252.0,15582.07,3.2,51.30207000000001,,,,,,0.0,Military,Critical,,,
2026-02-28,Singapore Airlines,SI2866,Riyadh,Cairo,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,6351.0,8687.0,2336.0,9357.88,2.0,34.71788,,,,,,0.0,Military,Critical,,,
2026-02-28,Singapore Airlines,SI625,Mumbai,Kuwait City,,,,,,,,,India,Kuwait,Boeing 787-9 Dreamliner,369.0,Security risk — conflict zone,1.0,Military,Critical,,,
2026-02-28,Singapore Airlines,SI7861,Kuwait City,Mumbai,,,,,,,,,Kuwait,India,Boeing 787-10 Dreamliner,97.0,Airport closure — military activity,1.0,Military,Critical,,,
2026-02-28,Thai Airways,TH2126,Dubai,New York,Direct Tehran overfly,Via Ashgabat–Almaty route,3580.0,5177.0,1597.0,5713.26,3.6,25.28326,,,,,,0.0,Military,Critical,,,
2026-02-28,Turkish Airlines,TU3347,Dubai,Frankfurt,,,,,,,,,UAE,Germany,Airbus A330-300,341.0,Security risk — conflict zone,1.0,Military,Critical,,,
2026-02-28,Turkish Airlines,TU6903,New York,Doha,Direct Gulf route,Via Jordan–Egypt alternate,6347.0,7040.0,693.0,4580.02,3.9,15.41002,,,,,,0.0,Military,Critical,,,
2026-03-01,Air Arabia,AI117,London,Abu Dhabi,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3398.0,5158.0,1760.0,7304.39,2.1,27.004390000000004,,,,,,0.0,Energy,Critical,,,
2026-03-01,Air Arabia,AI4137,Singapore,London,,,,,,,,,Singapore,UK,Airbus A340-600,147.0,Airport closure — military activity,1.0,Energy,Critical,,,
2026-03-01,Air France,AI2355,Paris,Doha,,,,,,,,,France,Qatar,Airbus A380-800,156.0,Crew safety — company policy,1.0,Energy,Critical,,,
2026-03-01,Air France,AI4242,Beirut,Paris,,,,,,,,,Lebanon,France,Boeing 777-300ER,298.0,Government travel ban,1.0,Energy,Critical,,,
2026-03-01,Air India,AI3401,Singapore,London,,,,,,,,,Singapore,UK,Boeing 787-10 Dreamliner,183.0,Airspace closure — NOTAM,1.0,Energy,Critical,,,
2026-03-01,Air India,AI394,Paris,Dubai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7994.0,9286.0,1292.0,5903.44,1.9,20.72344,,,,,,0.0,Energy,Critical,,,
2026-03-01,American Airlines,AM2326,Paris,Doha,Direct Tehran overfly,Via Ashgabat–Almaty route,7952.0,9236.0,1284.0,4736.4,4.2,21.7764,,,,,,0.0,Energy,Critical,,,
2026-03-01,British Airways,BR2894,Istanbul,Dubai,,,,,,,,,Turkey,UAE,Airbus A330-300,80.0,Crew safety — company policy,1.0,Energy,Critical,,,
2026-03-01,British Airways,BR9360,Beijing,Tehran,Direct Gulf route,Via Jordan–Egypt alternate,5767.0,6649.0,882.0,6101.64,1.7,16.62164,,,,,,0.0,Energy,Critical,,,
2026-03-01,Cargolux,CA1068,Lahore,Doha,,,,,,,,,Pakistan,Qatar,Boeing 737-800,379.0,Government travel ban,1.0,Energy,Critical,,,
2026-03-01,Cargolux,CA4309,London,Abu Dhabi,Direct Gulf route,Via Jordan–Egypt alternate,2631.0,3375.0,744.0,3247.36,2.0,12.687360000000002,,,,,,0.0,Energy,Critical,,,
2026-03-01,Cargolux,CA6451,Cairo,Kuwait City,Direct Tehran overfly,Via Ashgabat–Almaty route,2312.0,3312.0,1000.0,4358.74,3.4,17.75874,,,,,,0.0,Energy,Critical,,,
2026-03-01,DHL Aviation,DH2597,Dubai,Delhi,,,,,,,,,UAE,India,Boeing 777-200LR,409.0,Crew safety — company policy,1.0,Energy,Critical,,,
2026-03-01,DHL Aviation,DH2848,Moscow,Tehran,Via Baghdad FIR,Via Ankara–Baku corridor,11653.0,12230.0,577.0,3169.46,4.3,13.239460000000001,,,,,,0.0,Energy,Critical,,,
2026-03-01,DHL Aviation,DH3026,Dubai,Cairo,Direct Middle East overfly,Via Central Asian detour,5756.0,6749.0,993.0,4308.54,1.3,15.538540000000001,,,,,,0.0,Energy,Critical,,,
2026-03-01,Delta Air Lines,DE8280,Muscat,London,,,,,,,,,Oman,UK,Airbus A330-300,121.0,Insurance restriction — war zone,1.0,Energy,Critical,,,
2026-03-01,Emirates,EM1417,Muscat,London,,,,,,,,,Oman,UK,Airbus A350-900,226.0,Security risk — conflict zone,1.0,Energy,Critical,,,
2026-03-01,Emirates,EM4550,Tehran,Beijing,,,,,,,,,Iran,China,Boeing 787-9 Dreamliner,346.0,Diplomatic advisory — do not fly,1.0,Energy,Critical,,,
2026-03-01,Emirates SkyCargo,EM3364,Dubai,Frankfurt,,,,,,,,,UAE,Germany,Boeing 777-200LR,404.0,Airport closure — military activity,1.0,Energy,Critical,,,
2026-03-01,Emirates SkyCargo,EM7247,London,Muscat,Via Strait of Hormuz,Via Red Sea–Suez route,3840.0,5179.0,1339.0,6782.83,2.1,22.27283,,,,,,0.0,Energy,Critical,,,
2026-03-01,Ethiopian Airlines,ET3198,Doha,Los Angeles,,,,,,,,,Qatar,USA,Boeing 737-800,94.0,Crew safety — company policy,1.0,Energy,Critical,,,
2026-03-01,Ethiopian Airlines,ET8647,Delhi,Dubai,,,,,,,,,India,UAE,Airbus A340-600,121.0,Security risk — conflict zone,1.0,Energy,Critical,,,
2026-03-01,Etihad Airways,ET2036,London,Riyadh,,,,,,,,,UK,Saudi Arabia,Boeing 737 MAX 8,342.0,Airport closure — military activity,1.0,Energy,Critical,,,
2026-03-01,Etihad Airways,ET3032,Riyadh,Islamabad,,,,,,,,,Saudi Arabia,Pakistan,Airbus A380-800,216.0,Government travel ban,1.0,Energy,Critical,,,
2026-03-01,Etihad Airways,ET5201,Doha,Los Angeles,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,9230.0,11244.0,2014.0,9958.86,0.6,30.698860000000003,,,,,,0.0,Energy,Critical,,,
2026-03-01,FedEx Express,FE5416,Delhi,Istanbul,,,,,,,,,India,Turkey,Airbus A380-800,445.0,Airspace closure — NOTAM,1.0,Energy,Critical,,,
2026-03-01,FedEx Express,FE7964,Mumbai,Kuwait City,,,,,,,,,India,Kuwait,Airbus A320neo,125.0,Insurance restriction — war zone,1.0,Energy,Critical,,,
2026-03-01,Gulf Air,GU1138,Dubai,London,Via Strait of Hormuz,Via Red Sea–Suez route,11632.0,12232.0,600.0,3347.23,4.0,13.34723,,,,,,0.0,Energy,Critical,,,
2026-03-01,Gulf Air,GU2978,New York,Doha,,,,,,,,,USA,Qatar,Boeing 777-200LR,279.0,Insurance restriction — war zone,1.0,Energy,Critical,,,
2026-03-01,IndiGo,IN1283,Paris,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,2232.0,3051.0,819.0,3931.68,2.2,14.32168,,,,,,0.0,Energy,Critical,,,
2026-03-01,IndiGo,IN8518,Dubai,Paris,,,,,,,,,UAE,France,Airbus A320neo,367.0,Airport closure — military activity,1.0,Energy,Critical,,,
2026-03-01,IndiGo,IN8905,New York,Dubai,,,,,,,,,USA,UAE,Boeing 737-800,164.0,Airport closure — military activity,1.0,Energy,Critical,,,
2026-03-01,Iran Air,IR5660,New York,Doha,,,,,,,,,USA,Qatar,Airbus A330-300,353.0,Fuel supply disruption,1.0,Energy,Critical,,,
2026-03-01,Iran Air,IR7345,London,Doha,,,,,,,,,UK,Qatar,Airbus A320neo,195.0,Airspace closure — NOTAM,1.0,Energy,Critical,,,
2026-03-01,Jazeera Airways,JA1145,Riyadh,Islamabad,,,,,,,,,Saudi Arabia,Pakistan,Airbus A320neo,318.0,Airport closure — military activity,1.0,Energy,Critical,,,
2026-03-01,Jazeera Airways,JA894,New York,Dubai,,,,,,,,,USA,UAE,Airbus A340-600,264.0,Insurance restriction — war zone,1.0,Energy,Critical,,,
2026-03-01,KLM,KL6421,Paris,Dubai,,,,,,,,,France,UAE,Boeing 737 MAX 8,125.0,Fuel supply disruption,1.0,Energy,Critical,,,
2026-03-01,Lufthansa,LU182,Cairo,Dubai,,,,,,,,,Egypt,UAE,Airbus A340-600,410.0,Insurance restriction — war zone,1.0,Energy,Critical,,,
2026-03-01,Mahan Air,MA2634,Muscat,London,,,,,,,,,Oman,UK,Airbus A321neo,381.0,Crew safety — company policy,1.0,Energy,Critical,,,
2026-03-01,Mahan Air,MA6614,Riyadh,Islamabad,,,,,,,,,Saudi Arabia,Pakistan,Boeing 777-300ER,171.0,Diplomatic advisory — do not fly,1.0,Energy,Critical,,,
2026-03-01,Malaysia Airlines,MA3324,Cairo,Riyadh,,,,,,,,,Egypt,Saudi Arabia,Boeing 787-9 Dreamliner,299.0,Airport closure — military activity,1.0,Energy,Critical,,,
2026-03-01,Malaysia Airlines,MA8449,Islamabad,Riyadh,,,,,,,,,Pakistan,Saudi Arabia,Airbus A350-900,135.0,Airport closure — military activity,1.0,Energy,Critical,,,
2026-03-01,Malaysia Airlines,MA8638,Riyadh,Islamabad,Via Baghdad FIR,Via Ankara–Baku corridor,10051.0,11229.0,1178.0,4565.89,1.8,18.14589,,,,,,0.0,Energy,Critical,,,
2026-03-01,Oman Air,OM8586,Istanbul,Tehran,Direct Tehran overfly,Via Ashgabat–Almaty route,3158.0,4613.0,1455.0,5322.14,2.8,22.672140000000002,,,,,,0.0,Energy,Critical,,,
2026-03-01,Pakistan International Airlines,PA1700,Riyadh,London,,,,,,,,,Saudi Arabia,UK,Airbus A350-900,223.0,Crew safety — company policy,1.0,Energy,Critical,,,
2026-03-01,Pakistan International Airlines,PA5745,Dubai,New York,Direct Tehran overfly,Via Ashgabat–Almaty route,2654.0,4571.0,1917.0,9920.6,3.5,32.5906,,,,,,0.0,Energy,Critical,,,
2026-03-01,Pakistan International Airlines,PA627,Dubai,Mumbai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5523.0,6608.0,1085.0,5280.56,1.0,17.13056,,,,,,0.0,Energy,Critical,,,
2026-03-01,Qatar Airways,QA1993,Paris,Beirut,,,,,,,,,France,Lebanon,Boeing 777-200LR,205.0,Airport closure — military activity,1.0,Energy,Critical,,,
2026-03-01,Qatar Airways,QA4657,Islamabad,Riyadh,Direct Tehran overfly,Via Ashgabat–Almaty route,11865.0,13544.0,1679.0,9059.45,1.6,27.449450000000002,,,,,,0.0,Energy,Critical,,,
2026-03-01,Qatar Airways,QA9076,Delhi,Dubai,,,,,,,,,India,UAE,Airbus A350-900,156.0,Government travel ban,1.0,Energy,Critical,,,
2026-03-01,Saudi Arabian Airlines,SA1077,London,Abu Dhabi,Via Strait of Hormuz,Via Red Sea–Suez route,9848.0,10697.0,849.0,5919.92,4.3,18.70992,,,,,,0.0,Energy,Critical,,,
2026-03-01,Saudi Arabian Airlines,SA522,Bahrain,Dubai,,,,,,,,,Bahrain,UAE,Boeing 777-300ER,341.0,Fuel supply disruption,1.0,Energy,Critical,,,
2026-03-01,Saudi Arabian Airlines,SA803,Dubai,Frankfurt,,,,,,,,,UAE,Germany,Boeing 787-10 Dreamliner,240.0,Insurance restriction — war zone,1.0,Energy,Critical,,,
2026-03-01,Singapore Airlines,SI4009,Paris,Beirut,Via Strait of Hormuz,Via Red Sea–Suez route,9309.0,10754.0,1445.0,7662.14,2.9,25.012140000000002,,,,,,0.0,Energy,Critical,,,
2026-03-01,Thai Airways,TH6909,Amman,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,5354.0,6451.0,1097.0,4293.2,3.0,18.2632,,,,,,0.0,Energy,Critical,,,
2026-03-01,Turkish Airlines,TU1678,Beirut,Paris,Via Baghdad FIR,Via Ankara–Baku corridor,11839.0,12930.0,1091.0,5125.34,2.9,18.93534,,,,,,0.0,Energy,Critical,,,
2026-03-01,Turkish Airlines,TU5122,Cairo,Riyadh,,,,,,,,,Egypt,Saudi Arabia,Boeing 787-9 Dreamliner,333.0,Crew safety — company policy,1.0,Energy,Critical,,,
2026-03-01,Turkish Airlines,TU6932,Delhi,Istanbul,,,,,,,,,India,Turkey,Boeing 787-9 Dreamliner,145.0,Diplomatic advisory — do not fly,1.0,Energy,Critical,,,
2026-03-01,United Airlines,UN8284,Tehran,Beijing,,,,,,,,,Iran,China,Boeing 737 MAX 8,348.0,Insurance restriction — war zone,1.0,Energy,Critical,,,
2026-03-02,Air Arabia,AI6473,Islamabad,Riyadh,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,10764.0,12374.0,1610.0,10342.62,2.1,28.542620000000003,,,,,,0.0,Military,Critical,,,
2026-03-02,Air Arabia,AI6851,Dubai,Frankfurt,Via Strait of Hormuz,Via Red Sea–Suez route,3524.0,4414.0,890.0,3319.93,1.0,13.21993,,,,,,0.0,Military,Critical,,,
2026-03-02,Air France,AI2446,Kuwait City,Mumbai,,,,,,,,,Kuwait,India,Airbus A320neo,171.0,Diplomatic advisory — do not fly,1.0,Military,Critical,,,
2026-03-02,Air France,AI2712,Doha,New York,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,6081.0,7160.0,1079.0,5655.66,2.9,19.345660000000002,,,,,,0.0,Military,Critical,,,
2026-03-02,Air France,AI3899,Lahore,Doha,Direct Gulf route,Via Jordan–Egypt alternate,4683.0,5686.0,1003.0,3723.95,3.0,16.75395,,,,,,0.0,Military,Critical,,,
2026-03-02,Air France,AI6460,Amman,Dubai,,,,,,,,,Jordan,UAE,Boeing 787-9 Dreamliner,291.0,Insurance restriction — war zone,1.0,Military,Critical,,,
2026-03-02,Air France,AI8273,Karachi,Dubai,,,,,,,,,Pakistan,UAE,Boeing 777-300ER,279.0,Airspace closure — NOTAM,1.0,Military,Critical,,,
2026-03-02,American Airlines,AM5225,London,Dubai,,,,,,,,,UK,UAE,Boeing 787-9 Dreamliner,316.0,Airspace closure — NOTAM,1.0,Military,Critical,,,
2026-03-02,American Airlines,AM8643,Amman,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,5532.0,6052.0,520.0,2291.72,1.3,8.79172,,,,,,0.0,Military,Critical,,,
2026-03-02,American Airlines,AM9026,Doha,Paris,,,,,,,,,Qatar,France,Boeing 737-800,425.0,Diplomatic advisory — do not fly,1.0,Military,Critical,,,
2026-03-02,British Airways,BR1625,Mumbai,Kuwait City,,,,,,,,,India,Kuwait,Airbus A330-300,410.0,Government travel ban,1.0,Military,Critical,,,
2026-03-02,British Airways,BR2481,Dubai,New York,,,,,,,,,UAE,USA,Airbus A320neo,202.0,Insurance restriction — war zone,1.0,Military,Critical,,,
2026-03-02,British Airways,BR7995,Kuwait City,Cairo,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7868.0,9744.0,1876.0,10121.21,4.9,33.78121,,,,,,0.0,Military,Critical,,,
2026-03-02,British Airways,BR8703,Islamabad,Riyadh,Direct Middle East overfly,Via Central Asian detour,10930.0,12348.0,1418.0,9009.11,2.0,25.18911,,,,,,0.0,Military,Critical,,,
2026-03-02,Cargolux,CA2262,Dubai,Frankfurt,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,3325.0,5745.0,2420.0,16395.37,1.1,41.69537,,,,,,0.0,Military,Critical,,,
